City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,12.22,87,75,2.57,PT,1679699005
1,cape town,-33.9258,18.4232,18.82,82,40,7.2,ZA,1679698800
2,belmonte,-15.8631,-38.8828,25.49,83,8,3.83,BR,1679699005
3,hithadhoo,-0.6,73.0833,26.88,78,100,1.25,MV,1679699006
4,new norfolk,-42.7826,147.0587,15.4,52,78,0.45,AU,1679699006
5,korla,41.7597,86.1469,7.48,35,0,5.02,CN,1679699006
6,busselton,-33.65,115.3333,18.25,84,81,5.95,AU,1679699007
7,cherskiy,68.75,161.3,-24.01,91,61,1.14,RU,1679699007
8,qasigiannguit,68.8193,-51.1922,-10.86,97,100,2.09,GL,1679699008
9,merauke,-8.4667,140.3333,26.9,77,72,2.09,ID,1679699008
10,viseu,40.661,-7.9097,7.63,92,25,0.72,PT,1679699008
11,hermanus,-34.4187,19.2345,16.0,72,100,2.12,ZA,1679699009
12,roebourne,-20.7833,117.1333,28.47,68,6,3.5,AU,1679699009
13,constitucion,-35.3333,-72.4167,16.84,64,3,6.43,CL,1679699010
14,collie,-33.3667,116.15,18.11,84,89,3.81,AU,1679699010
15,butaritari,3.0707,172.7902,27.5,80,34,7.55,KI,1679699010
16,deputatskiy,69.3,139.9,-25.2,92,27,1.22,RU,1679699011
17,tasiilaq,65.6145,-37.6368,-12.91,60,100,2.57,GL,1679699011
18,mataura,-46.1927,168.8643,14.15,97,100,1.52,NZ,1679699012
19,ivankiv,50.9386,29.8943,13.24,68,100,5.3,UA,1679699012
20,bredasdorp,-34.5322,20.0403,17.51,80,99,1.43,ZA,1679699013
21,qaanaaq,77.484,-69.3632,-22.52,62,5,3.11,GL,1679699013
22,yellowknife,62.456,-114.3525,-8.71,48,75,1.54,CA,1679699013
23,vaini,-21.2,-175.2,29.09,79,75,4.12,TO,1679699014
24,lake city,30.1897,-82.6393,28.21,50,0,4.63,US,1679699014
25,aktau,43.65,51.2,5.32,71,35,4.0,KZ,1679699015
26,klaksvik,62.2266,-6.589,2.51,60,100,10.99,FO,1679699015
27,tanout,14.9709,8.8879,24.51,14,25,6.27,NE,1679699015
28,inuvik,68.3499,-133.7218,-1.52,52,75,1.54,CA,1679699016
29,bandarbeyla,9.4942,50.8122,26.8,80,83,3.7,SO,1679699016
30,camacha,33.0833,-16.3333,15.68,77,20,4.12,PT,1679699017
31,griffith,41.5284,-87.4237,8.5,72,75,4.63,US,1679699017
32,san ramon,37.7799,-121.978,15.16,43,0,6.17,US,1679698947
33,georgetown,5.4112,100.3354,25.97,89,20,2.68,MY,1679698953
34,hami,42.8,93.45,6.17,21,73,2.57,CN,1679699018
35,barinas,8.6226,-70.2075,31.73,28,81,2.18,VE,1679699018
36,kavieng,-2.5744,150.7967,28.65,68,94,2.34,PG,1679699019
37,te anau,-45.4167,167.7167,12.68,95,99,0.9,NZ,1679699019
38,qaqortoq,60.7167,-46.0333,-5.29,85,97,2.83,GL,1679699020
39,batagay,67.6333,134.6333,-20.51,97,100,2.97,RU,1679699020
40,khatanga,71.9667,102.5,-14.06,86,100,7.41,RU,1679699020
41,bengkulu,-3.8004,102.2655,23.36,95,100,2.03,ID,1679699021
42,acarau,-2.8856,-40.12,25.71,83,91,3.21,BR,1679699021
43,kieta,-6.2167,155.6333,28.52,65,86,2.99,PG,1679699021
44,kapaa,22.0752,-159.319,27.29,61,16,2.24,US,1679699022
45,omboue,-1.5746,9.2618,25.07,86,100,1.2,GA,1679699022
46,meulaboh,4.1363,96.1285,23.83,89,100,0.82,ID,1679699023
47,aklavik,68.2191,-135.0107,-4.0,54,40,2.06,CA,1679699023
48,dikson,73.5069,80.5464,-17.36,95,100,5.75,RU,1679699024
49,tuktoyaktuk,69.4541,-133.0374,-8.0,73,40,6.17,CA,1679699004
50,hilo,19.7297,-155.09,29.04,79,26,4.47,US,1679699024
51,port elizabeth,-33.918,25.5701,20.16,96,20,7.72,ZA,1679699025
52,jamestown,42.097,-79.2353,6.96,65,0,2.57,US,1679699025
53,antalaha,-14.9003,50.2788,23.11,93,100,2.89,MG,1679699025
54,nikolskoye,59.7035,30.7861,4.95,95,100,4.04,RU,1679699026
55,mar del plata,-38.0023,-57.5575,21.16,85,81,2.57,AR,1679699026
56,ilulissat,69.2167,-51.1,-10.99,67,100,2.57,GL,1679699027
57,rikitea,-23.1203,-134.9692,25.75,69,86,3.16,PF,1679699027
58,blagoyevo,63.3667,47.9167,-12.64,100,97,0.31,RU,1679699027
59,sao filipe,14.8961,-24.4956,22.08,69,30,4.82,CV,1679699028
60,brovary,50.5,30.7667,14.38,72,100,4.36,UA,1679699028
